level,label,bucket,reason,n_occurrences,n_trials,example_nct,first_seen,weeks_open,parser_rules_version
class,AIN457 in Treatment Period 1 -JIA Category: JPsA,,unrecognized,1,1,NCT03031782,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,AIN457 in Treatment Period 2 - JIA Category: ERA,,unrecognized,1,1,NCT03031782,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,AIN457 in Treatment Period 2 -JIA Category: JPsA,,unrecognized,1,1,NCT03031782,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,AL Residents (Primary),,unrecognized,1,1,NCT03892200,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,AL Staff at 4-Months (Secondary),,unrecognized,1,1,NCT03892200,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,AL Staff at 8-Months (Secondary),,unrecognized,1,1,NCT03892200,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,AL Staff at Baseline (Secondary),,unrecognized,1,1,NCT03892200,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,AYA,,unrecognized,1,1,NCT06191679,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,AYA living with HIV,,unrecognized,1,1,NCT03758066,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Abol Field Station,,unrecognized,1,1,NCT00223990,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
category,About half the time,,unrecognized,1,1,NCT05161689,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Absent,,unrecognized,1,1,NCT03332303,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,According to Group,,unrecognized,1,1,NCT05253573,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Acute,,unrecognized,1,1,NCT02522429,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Acute Phase Randomization,,unrecognized,1,1,NCT03266016,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Add-on Phase,,unrecognized,1,1,NCT04676529,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Additional Category,,unrecognized,1,1,NCT04047420,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Adhesive Capsulitis Population,,unrecognized,1,1,NCT04160091,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Adolescent participants,,unrecognized,1,1,NCT05879198,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Adult Caregiver Participants,,unrecognized,1,1,NCT06012851,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Adult Children,,unrecognized,1,1,NCT05150990,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Adult Clinic Patients Eligible for CRC Screening Post-Implementation,,unrecognized,1,1,NCT03843957,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Adult Inpatients With Community Acquired Pneumonia,,unrecognized,1,1,NCT06027593,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Adult Outpatients With Pharyngitis,,unrecognized,1,1,NCT06027593,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Adult participants,,unrecognized,1,1,NCT05358444,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Adult participants reporting sex,,unrecognized,1,1,NCT05879198,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Adult/parent participants,,unrecognized,1,1,NCT02029976,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Age at first intercourse <16 years,,unrecognized,1,1,NCT03058835,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Aggressive subtype,,unrecognized,1,1,NCT00464620,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Agree,,unrecognized,1,1,NCT03808883,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Aim 1: Key Informant Interviews,,unrecognized,1,1,NCT04188041,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Aim 2: RI LTBI ECHO Participants,,unrecognized,1,1,NCT04188041,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Aim 3: Retrospective Chart Review,,unrecognized,1,1,NCT04188041,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Alinity s Anti-HBc Gender,,unrecognized,1,1,NCT03285295,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Alinity s Anti-HCV Gender,,unrecognized,1,1,NCT03285295,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Alinity s Chagas Gender,,unrecognized,1,1,NCT03285295,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Alinity s HBsAg Gender,,unrecognized,1,1,NCT03285295,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Alinity s HIV Ag/Ab Combo Gender,,unrecognized,1,1,NCT03285295,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Alinity s HTLV I/II Gender,,unrecognized,1,1,NCT03285295,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,"Alkyl nitrites (Rush, poppers)",,unrecognized,1,1,NCT06187415,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,All Cohorts Except 15E,,unrecognized,1,1,NCT04889209,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
