level,label,bucket,reason,n_occurrences,n_trials,example_nct,parser_rules_version
category,Transgender (Female-to-Male),ambiguous,mapped,1,1,NCT05280756,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Transgender (Male to Female),ambiguous,mapped,1,1,NCT01354314,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Transgender (Male to Female),ambiguous,mapped,1,1,NCT02460692,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Transgender (Male-to-Female),ambiguous,mapped,1,1,NCT05280756,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Transgender (female to male),ambiguous,mapped,1,1,NCT04418076,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Transgender (female),ambiguous,mapped,1,1,NCT04646291,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Transgender (female-to-male),ambiguous,mapped,1,1,NCT04154150,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Transgender (male to female),ambiguous,mapped,1,1,NCT04418076,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Transgender (male),ambiguous,mapped,1,1,NCT04646291,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Transgender FTM,gender_diverse,mapped,1,1,NCT05127837,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Transgender Female (MTF),ambiguous,mapped,1,1,NCT04625686,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Transgender Female (Male to Female),ambiguous,mapped,1,1,NCT05470400,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Transgender Female to Male,ambiguous,mapped,1,1,NCT02701049,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Transgender Female/Transgender Woman,ambiguous,mapped,1,1,NCT04742491,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Transgender Female/Transwoman/Male-to-Female,ambiguous,mapped,1,1,NCT05609032,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Transgender MTF,gender_diverse,mapped,1,1,NCT05127837,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Transgender Male (FTM),ambiguous,mapped,1,1,NCT04625686,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Transgender Male (Female to Male),ambiguous,mapped,1,1,NCT05470400,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Transgender Male or Transgender Female,ambiguous,mapped,1,1,NCT05990335,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Transgender Male to Female,ambiguous,mapped,1,1,NCT02701049,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Transgender Man/Trans Man,ambiguous,mapped,1,1,NCT05512949,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Transgender Spectrum,gender_diverse,mapped,1,1,NCT05630885,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Transgender Woman/Trans Woman,ambiguous,mapped,1,1,NCT05512949,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Transgender and Nonbinary (TGNB),gender_diverse,mapped,1,1,NCT04342494,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Transgender boy,ambiguous,mapped,1,1,NCT05408858,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Transgender boys,ambiguous,mapped,1,1,NCT03409328,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Transgender female,ambiguous,mapped,1,1,NCT05533190,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Transgender female (M to F),ambiguous,mapped,1,1,NCT05142618,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Transgender female (male-to-female),ambiguous,mapped,1,1,NCT04283656,parsers.R@2026-08-17 / outcomes@2026-09-10
